filename.meta,filename,language,modelLanguage
1879976127.meta.json,1879976127.json,en,epc
244092612.meta.json,244092612.json,de,bpmn20
244129799.meta.json,244129799.json,en,epc
244152017.meta.json,244152017.json,fr,epc
244205494.meta.json,244205494.json,es,bpmn20
244284750.meta.json,244284750.json,en,bpmn20
244342058.meta.json,244342058.json,fr,bpmn20
244342712.meta.json,244342712.json,en,bpmn20
244388523.meta.json,244388523.json,de,bpmn20
244445175.meta.json,244445175.json,undetermined language,organigram
244473782.meta.json,244473782.json,de,bpmn11
244527468.meta.json,244527468.json,ru,bpmn20
519659275.meta.json,519659275.json,en,bpmn20
519710080.meta.json,519710080.json,en,petrinet
519721186.meta.json,519721186.json,en,epc
519767037.meta.json,519767037.json,undetermined language,bpmn20choreography
519781157.meta.json,519781157.json,en,bpmn20
519879246.meta.json,519879246.json,hr,bpmn11
51996035.meta.json,51996035.json,en,bpmn20
520015709.meta.json,520015709.json,en,bpmn20
520061004.meta.json,520061004.json,undetermined language,bpmn20
520168953.meta.json,520168953.json,undetermined language,bpmn20
1617472810.meta.json,1617472810.json,en,bpmn11
1617805338.meta.json,1617805338.json,hu,bpmn20
1617860359.meta.json,1617860359.json,de,bpmn11
1618088741.meta.json,1618088741.json,en,bpmn20
1618302993.meta.json,1618302993.json,en,bpmn20
1618313853.meta.json,1618313853.json,hr,epc
161831830.meta.json,161831830.json,de,bpmn20
1618411041.meta.json,1618411041.json,de,bpmn20
762096772.meta.json,762096772.json,en,bpmn20
762105919.meta.json,762105919.json,en,UMLUseCase
762315872.meta.json,762315872.json,de,bpmn20
76239855.meta.json,76239855.json,en,epc
762456417.meta.json,762456417.json,en,bpmn20
762468400.meta.json,762468400.json,en,bpmn11
1052217697.meta.json,1052217697.json,en,epc
1052257765.meta.json,1052257765.json,hu,bpmn20
1052297546.meta.json,1052297546.json,en,bpmn20
1052331125.meta.json,1052331125.json,en,bpmn20
1052409729.meta.json,1052409729.json,de,bpmn20
1052459805.meta.json,1052459805.json,fr,bpmn11
1587946167.meta.json,1587946167.json,de,bpmn20
1589253750.meta.json,1589253750.json,en,petrinet
1589847085.meta.json,1589847085.json,de,bpmn20
1596222641.meta.json,1596222641.json,en,bpmn20
1596726732.meta.json,1596726732.json,en,bpmn20
1597534986.meta.json,1597534986.json,de,epc
1598443593.meta.json,1598443593.json,en,processmap
1598845770.meta.json,1598845770.json,nl,bpmn20
1599343054.meta.json,1599343054.json,en,bpmn20
943903190.meta.json,943903190.json,en,organigram
943990674.meta.json,943990674.json,de,bpmn20
94414450.meta.json,94414450.json,en,epc
944144825.meta.json,944144825.json,en,epc
944330615.meta.json,944330615.json,undetermined language,petrinet
944331665.meta.json,944331665.json,en,bpmn20
944353830.meta.json,944353830.json,de,bpmn20
944377851.meta.json,944377851.json,en,epc
944381547.meta.json,944381547.json,de,processmap
563361388.meta.json,563361388.json,hu,bpmn20
563403338.meta.json,563403338.json,de,bpmn20
563406984.meta.json,563406984.json,en,bpmn20
563507529.meta.json,563507529.json,en,bpmn11
563535847.meta.json,563535847.json,de,bpmn11
563626532.meta.json,563626532.json,en,bpmn11
563655625.meta.json,563655625.json,en,bpmn20
563757288.meta.json,563757288.json,de,bpmn20
56378895.meta.json,56378895.json,en,organigram
563815764.meta.json,563815764.json,en,bpmn20
478739232.meta.json,478739232.json,en,bpmn20
478768743.meta.json,478768743.json,fr,bpmn20
478955028.meta.json,478955028.json,en,bpmn20
479072793.meta.json,479072793.json,en,epc
479187652.meta.json,479187652.json,en,epc
